MB2013,AU2013
138003,506659
138004,506661
138101,506661
138103,506661
138104,506661
138105,506659
138106,506659
138107,506659
138201,506661
138202,506661
138203,506659
138300,506661
138400,506661
138500,506661
138601,506657
138603,506657
138604,506661
138605,506661
138701,506657
138702,506661
138810,506658
138811,506658
138812,506658
138813,506658
138814,506658
138815,506658
138816,506658
138817,506658
138818,506658
138819,506658
138820,506658
138821,506661
138900,506661
139000,506661
139102,505500
139103,505500
139104,506661
139105,506661
139106,506661
139107,506661
139200,506661
139301,506661
139302,506661
139303,506661
139304,506661
139305,506631
139400,506661
139501,506631
139504,506631
139505,506631
139506,506631
139507,506631
139700,506661
139800,505500
139900,505500
140000,505500
140102,505500
140104,505500
140105,505500
140106,505500
140107,505500
140108,505500
140201,505500
140202,505500
140203,505500
140204,505500
140300,505500
140400,505500
140500,505500
140600,505500
140700,505500
140800,505500
140900,505500
141001,505500
141003,505500
141004,505500
141005,505500
141006,505500
141007,505500
141101,505500
141102,505500
141103,505500
141200,505500
141301,505500
141302,505500
141303,505500
141304,505500
141305,505500
141306,505500
141307,505500
141400,505500
141503,506631
141505,506631
141506,506631
141507,506631
141508,506631
141510,506631
141511,506631
141512,506631
141513,506631
141514,506631
141515,506631
141516,506631
141517,506631
141518,506631
141603,506631
141605,506631
141606,506631
141607,506631
141608,506631
141705,506631
141707,506631
141708,506631
141709,506633
141710,506633
141711,506633
141712,506633
141713,506633
141714,506633
141715,506633
141716,506633
141717,506633
141718,506633
141806,506633
141807,506631
141808,506631
141809,506631
141810,506634
141811,506634
141812,506633
141813,506633
141814,506633
141815,506633
141816,506633
141902,506634
142000,506634
142100,506620
142200,505300
142300,505300
142400,505300
142500,505300
142600,505300
142700,505300
142800,505300
142900,505300
143000,505300
143100,505300
143200,505300
143300,505300
143400,505300
143500,505300
143600,505300
143700,505300
143800,506660
143900,506660
144000,506660
144100,506660
144200,506660
144300,506660
144400,506660
144500,506660
144600,506660
144700,506613
144800,506613
144900,506613
145000,506613
145100,506613
145200,506613
145300,506613
145400,506613
145500,506613
145600,506613
145700,506613
145800,506613
145900,506613
146002,505500
146003,506613
146004,506613
146005,506613
146101,506613
146102,506613
146103,506613
146104,506613
146105,506613
146200,506613
146300,506613
146400,506613
146500,506613
146600,506613
146701,506613
146702,506613
146703,506613
146704,506613
146705,506613
146800,506613
146901,506613
146902,506613
147000,506613
147101,506613
147106,506613
147107,506613
147108,506613
147109,506613
147110,506613
147400,507500
147500,507500
147600,507500
147700,507500
147800,507500
147900,507500
148000,507500
148100,507500
148201,507500
148202,507500
148301,507500
148302,507500
148400,507500
148500,507500
148601,507500
148602,507500
148603,507500
148701,507500
148703,508520
148704,508520
148705,508520
148706,508520
148707,508520
148801,507500
148802,508520
148900,507500
149000,507500
149100,507500
149200,507500
149300,507500
149400,507500
149500,507400
149600,507400
149700,507400
149800,507400
149900,507400
150000,507400
150103,507400
150104,507400
150105,507400
150106,507400
150107,507400
150200,507400
150300,507400
150400,507400
150500,507400
150600,507400
150700,507400
150801,507400
150802,507400
150900,507400
151000,507400
151101,508805
