Code,proportionToHere
84400,6.73E-05
84500,6.78E-05
84600,0.000150989
84700,1.39E-05
84800,6.43E-06
84900,2.08E-05
85000,4.27E-05
85100,1.53E-05
85200,1.83E-05
85300,2.23E-05
85400,1.79E-05
85501,0.000505248
85502,2.13E-05
85503,4.95E-06
85600,1.88E-05
85700,2.08E-05
85800,2.77E-05
85900,8.40E-06
86000,1.58E-05
86102,9.87E-07
86103,1.19E-05
86104,2.32E-05
86105,2.72E-05
86200,2.82E-05
86300,7.42E-06
86400,3.42E-05
86500,4.92E-05
86600,3.96E-05
86700,1.98E-05
86800,2.82E-05
86900,2.82E-05
87000,1.98E-05
87100,1.14E-05
87200,1.14E-05
87300,3.61E-05
87400,4.66E-05
87500,1.79E-05
87600,1.83E-05
87700,1.98E-05
87800,1.79E-05
87900,1.14E-05
88000,2.37E-05
88100,2.62E-05
88200,3.56E-05
88301,3.27E-05
88302,2.48E-05
88400,2.32E-05
88501,3.47E-06
88502,1.34E-05
88600,1.44E-05
88700,1.74E-05
88801,1.63E-05
88802,2.67E-05
88900,2.08E-05
89000,2.32E-05
89100,2.87E-05
89201,1.83E-05
