Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1517,1.5524193159552642e-05,0.00024157286149736513,2.217741879936092e-06,0.0008776016810178702,4.435483759872184e-06,2.61694070673449e-05,2.2500009080759665e-05,3.118284313947495e-06,4.673388136566854e-05,0.00045090085914747296,0.0018969177285353578,7.677437165015318e-05,0.0001654032804797995,0.003076086666695264
1518,1.0015934371801522e-05,0.001944608767932715,1.4308477674002176e-06,0.006131213839063797,2.8616955348004353e-06,0.00038125907347336173,8.07666196596605e-05,3.513686801602945e-05,6.327687846083422e-05,0.0022563301721248387,0.007374044980395568,0.0012420336228729342,0.0003717153157880509,0.017347067343960836
1519,0.00013205849927232428,0.0003990630126174501,2.0766616513566744e-06,0.0012906152788346192,1.2717670147049322e-05,5.1169675883984194e-05,2.9074433312539194e-05,5.733297984026238e-06,4.609851973094892e-05,0.0005732844723319016,0.0022192965803805647,0.00015651924575229843,0.00021069409973532887,0.004130799198725748
1520,0.0021723909499256873,0.0009274162300483496,6.407181659935208e-07,0.0016500269699104854,0.00015926648719765055,2.4601794366558006e-05,6.784581255213767e-05,9.631238158306e-06,1.3455083434911392e-05,0.00035570354887022625,0.000706140388956245,2.9279930531154757e-05,0.0007320150195472103,0.003934630507486192
1521,0.0030465510819983814,0.0012087530655983554,0.0,0.001973474383692867,0.00022201587375192186,2.4668430416880206e-05,8.633950645908073e-05,1.2334215208440103e-05,0.0,0.0003206895830050554,0.00023435008896036198,1.2334215208440103e-05,0.0009620687614295535,0.004310808116034718
1522,0.0020156146627003024,0.0008769598629378053,7.556277935742413e-07,0.0015920182792999956,0.00014801269571402,2.4589843521191265e-05,6.452906020730356e-05,9.146472620702962e-06,1.5868185963658522e-05,0.0003619831301139682,0.0007907536410007898,3.231906058891248e-05,0.0006907560211196582,0.003867164917782805
1523,0.0008871408171490355,0.0022572076980776692,0.0,0.005131652534218063,0.0008267398167549073,0.00023269972245091948,8.735306646867663e-05,3.5916633151380154e-06,1.5552859674729694e-05,0.0010421073740129257,0.0007681200568073348,0.00033020160843100384,0.002659736489773978,0.004809113585398884
1524,0.0004173030376203178,0.0018371412350141896,3.611794958220839e-06,0.005088615556718376,0.0006312617197267873,0.0002736103445714766,8.445763889182404e-05,7.778989265972328e-06,5.948955474898785e-05,0.0011830786262906892,0.0012756720246190237,0.00032958844349155366,0.0022793458034147686,0.004222239575846104
1525,0.0,0.0025205509280383184,1.0364224898227233e-05,0.010018968009508437,0.000765822303114422,0.0007127094377042902,0.0001795871461466516,2.9779807765872705e-05,0.00019603658172450864,0.0027949417582125036,0.0023321247465507055,0.0007166522172198975,0.0034427323677492473,0.004265464159873725
1526,0.0,0.0037271634987175793,1.1173778305825934e-05,0.034475402570793366,3.489228582547865e-05,0.003322390138676591,0.0009149842640184047,0.0002017011484124042,0.0010270455271545386,0.014593034768862131,0.012852566755208138,0.003429782586505193,0.004894344967655106,0.004308159338634416
1527,0.0,0.0008492652917696313,3.5216298028228415e-05,0.010284241287780311,0.0001232570604639578,0.0006219549114122405,9.686373126541943e-05,0.00010245143156460797,0.00010453524355146541,0.0031083526420948937,0.0013463158745417427,0.0009214311665606634,0.0012902063049812648,0.0008196618914796233
1528,0.0,0.0007650779351402346,3.600366377646572e-05,0.009540971894954288,0.00012601284097103847,0.0005400550099072111,7.200732755293144e-05,9.901008426198495e-05,7.80079441001452e-05,0.0027482799464069486,0.0009961014591670632,0.0008400855709667728,0.001191721402376238,0.0007200733465429481
1529,0.0,0.0008132856080465533,3.597336569130642e-05,0.009532942901550436,0.00012590679765804095,0.0008327095537225683,7.194673138261284e-05,0.00400002946375858,0.006837478273042824,0.002745967192339063,0.0033792165675532566,0.0008393786155766693,0.001239570042930093,0.001564831023080801
1530,0.0,0.00316166568259085,0.002285906506258948,0.283852498877576,1.4846638678099051e-05,0.13178489733401488,0.006681489511867189,0.5315117455794286,0.6626989653728528,0.4847941605661805,0.49075111142879785,0.05500126339506992,0.009891844944841672,0.1326817572686777
1531,0.0,0.00044758739672261797,0.08512170137647308,0.13440932413185241,0.0,0.11640303685588083,0.023517999382268447,0.5606052957535972,0.09540757928114872,0.9654103308349136,0.43327273002662237,0.1319445889919488,0.048855341394083526,0.013253702202400583
1532,0.0,0.0015911806349130453,0.0008044089742558037,0.07078103366233127,3.1722609719642815e-05,0.008955852397382646,0.0011822430960574143,0.00346099851929159,0.001196587967880502,0.0424726226532878,0.04802148227198207,0.017829605485348437,0.024422775268255103,0.0006481349072558491
1533,0.0,0.0006778242321366475,0.0020067299462226133,0.013295003980637673,0.00011164164230523208,0.0027950944355181052,6.379521518658294e-05,0.002620820688834585,0.0016894867905800847,0.04793068456457976,0.003733348283784612,0.00458000968315611,0.002119182171472104,0.0013595255899735248
1534,0.0,0.000657692889860467,4.266970678092642e-05,0.008419658157626117,0.00010638516351095595,0.0004804842949208483,6.226438733171354e-05,8.587947563867273e-05,6.683939381786036e-05,0.002755934881389927,0.0008684429971127841,0.0007721752074569016,0.00102966564158848,0.0006159341744370102
1535,0.0,0.0007648796574585536,3.601597207833015e-05,0.009538901481074096,0.0001259766000738684,0.0005399450174661534,7.198933801263015e-05,9.898583966973191e-05,7.798732228775091e-05,0.0027482940806168093,0.0009958657482835134,0.0008399601800484819,0.0011914221797007874,0.0007198810620999554
1536,0.0,0.0001426754135646396,7.463997448526694e-05,0.0030418500128322184,1.225104190487445e-05,0.00019478381201389655,1.553735498414555e-05,2.290522351829295e-05,1.3275151559733497e-05,0.002792647863964678,0.00025619444068005056,0.0004464778634918633,0.0002524480250882395,0.00011648386958490548
1537,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1538,0.0,5.754967823067865e-05,0.0867808145812917,0.001781642074426901,0.0,0.00011989515781707567,7.193709183045809e-06,0.35773476721428477,0.016264958806122033,0.3923720410858088,0.13292561058094945,0.012502533187674355,0.004180140351695045,3.916574999658273e-05
1539,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
