left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1203775.368,4900002.285,1215322.379,4910002.289,5.05322,252,"-45.89756, 167.9666",86.348
1203775.368,4910002.289,1215322.379,4920002.294,5.05322,253,"-45.80791, 167.9747",86.348
1203775.368,4920002.294,1215322.379,4930002.299,5.05322,254,"-45.71824, 167.98276",86.348
1203775.368,4930002.299,1215322.379,4940002.303,5.05322,255,"-45.62858, 167.99079",86.348
1203775.368,4940002.303,1215322.379,4950002.308,5.05322,256,"-45.53891, 167.99878",86.348
1203775.368,4950002.308,1215322.379,4960002.313,5.05322,257,"-45.44925, 168.00673",86.348
1203775.368,4960002.313,1215322.379,4970002.317,5.05322,258,"-45.35957, 168.01464",86.348
1203775.368,4970002.317,1215322.379,4980002.322,5.05322,259,"-45.2699, 168.02252",86.348
1203775.368,4980002.322,1215322.379,4990002.327,5.05322,260,"-45.18022, 168.03036",86.348
1203775.368,4990002.327,1215322.379,5000002.331,5.05322,261,"-45.09055, 168.03816",86.348
1203775.368,5000002.331,1215322.379,5010002.336,5.05322,262,"-45.00086, 168.04593",86.348
1203775.368,5010002.336,1215322.379,5020002.341,5.05322,263,"-44.91118, 168.05366",86.348
1203775.368,5020002.341,1215322.379,5030002.345,5.05322,264,"-44.82149, 168.06135",86.348
1203775.368,5030002.345,1215322.379,5040002.35,5.05322,265,"-44.73181, 168.06901",86.348
1203775.368,5040002.35,1215322.379,5050002.355,5.05322,266,"-44.64211, 168.07663",86.348
1203775.368,5050002.355,1215322.379,5060002.359,5.05322,267,"-44.55242, 168.08422",86.348
1203775.368,5060002.359,1215322.379,5070002.364,5.05322,268,"-44.46273, 168.09177",86.348
1203775.368,5070002.364,1215322.379,5080002.369,5.05322,269,"-44.37348, 168.09949",85.473
1203775.368,5080002.369,1215322.379,5090002.373,5.05322,270,"-44.27895, 168.12571",52.548
1203775.368,5090002.373,1215322.379,5100002.378,5.05322,271,"-44.21813, 168.1526",11.191
1212435.626,4755002.217,1223982.637,4765002.222,5.05322,272,"-47.16496, 167.96114",0.002
1212435.626,4765002.222,1223982.637,4775002.226,5.05322,273,"-47.10368, 167.96304",65.894
1212435.626,4775002.226,1223982.637,4785002.231,5.05322,274,"-47.02313, 167.97551",86.362
1212435.626,4785002.231,1223982.637,4795002.236,5.05322,275,"-46.93898, 167.97496",56.537
1212435.626,4795002.236,1223982.637,4805002.24,5.05322,276,"-46.8431, 167.9914",82.928
1212435.626,4805002.24,1223982.637,4815002.245,5.05322,277,"-46.76343, 167.96644",31.942
1212435.626,4845002.259,1223982.637,4855002.264,5.05322,278,"-46.36783, 168.00823",11.301
1212435.626,4855002.264,1223982.637,4865002.268,5.05322,279,"-46.30422, 168.04074",82.855
1212435.626,4865002.268,1223982.637,4875002.273,5.05322,280,"-46.21626, 168.04978",86.362
1212435.626,4875002.273,1223982.637,4885002.278,5.05322,281,"-46.1266, 168.05784",86.362
1212435.626,4885002.278,1223982.637,4895002.282,5.05322,282,"-46.03693, 168.06586",86.362
1212435.626,4895002.282,1223982.637,4905002.287,5.05322,283,"-45.94726, 168.07384",86.362
1212435.626,4905002.287,1223982.637,4915002.292,5.05322,284,"-45.85758, 168.08179",86.362
1212435.626,4915002.292,1223982.637,4925002.296,5.05322,285,"-45.76791, 168.08969",86.362
1212435.626,4925002.296,1223982.637,4935002.301,5.05322,286,"-45.67823, 168.09756",86.362
1212435.626,4935002.301,1223982.637,4945002.306,5.05322,287,"-45.58855, 168.10539",86.362
