Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
244200,0.000550966,Boulcott,Boulcott,2620,2490,2520,2560,2700,450,900,900,460,40.2,1930,240,150,620,40,16.7,33.1,33,17,91,71.6,9,5.5,22.9,1.4,5823.117646
244300,0.000208143,Hutt Central North,Hutt Central North,730,710,780,920,1020,150,420,340,100,36.5,580,100,60,330,40,15,41.1,34,10.2,96,56.8,10,5.9,32.8,3.9,6011.555572
244400,0.000555048,Avalon West,Avalon West,2160,2370,2440,2520,2720,410,710,830,770,46.6,1720,270,250,740,60,15.1,26.3,30,28.1,87,63.3,9.8,9.2,27.1,2.1,4739.364826
244600,0.000655038,Taita South,Taita South,2920,2890,3170,3030,3210,740,1220,900,350,32.6,1580,900,800,460,70,23.1,37.9,28,10.9,94,49.1,28,24.9,14.4,2.3,9197.506801
244700,0.00082645,Petone East,Petone East,3430,3550,3410,3380,4050,580,1520,1150,800,38.8,2940,540,300,730,60,14.3,37.6,28,19.8,98,72.7,13.2,7.5,17.9,1.4,5858.134624
244800,0.000677485,Hutt Central South,Hutt Central South,2950,3000,3060,3140,3320,510,900,1110,810,46.7,2430,230,90,790,20,15.4,27,33,24.3,93,73,6.9,2.6,23.9,0.6,7038.19647
244900,0.000724419,Stokes Valley North,Stokes Valley North,3270,3240,3290,3430,3550,710,1270,1070,490,36.1,2770,690,360,350,40,20.1,35.7,30,13.8,98,78.1,19.4,10.2,10,1.2,11254.61401
245000,0.00056117,Petone Esplanade,Petone Esplanade,2540,2530,2450,2550,2750,430,1120,890,310,35.7,1950,490,260,420,40,15.7,40.6,32,11.3,104,70.7,17.8,9.4,15.1,1.3,6152.384844
245100,0.000657078,Epuni West,Epuni West,3130,3040,3190,3110,3220,590,1060,1060,510,39.1,1940,360,200,950,90,18.2,33,33,16,98,60.4,11.3,6.2,29.5,2.7,5480.168021
245200,0.00053056,Avalon East,Avalon East,2270,2320,2380,2400,2600,530,920,730,420,36.1,1340,500,450,620,110,20.3,35.3,28,16.2,95,51.5,19.1,17.3,23.7,4.1,4675.8783
245300,0.000373433,Woburn,Woburn,1800,1790,1790,1740,1830,280,580,660,320,42.9,1310,160,50,460,20,15.3,31.6,36,17.4,92,71.6,8.5,2.7,25.1,1.1,4126.274752
245400,0.0007285,Naenae Central,Naenae Central,3140,3260,3430,3300,3570,790,1320,1090,370,33.3,1870,1000,870,480,100,22.1,37.1,30,10.3,99,52.6,28.1,24.4,13.6,2.8,5943.939177
245500,0.000483626,Waterloo West,Waterloo West,2200,2240,2230,2200,2370,450,760,800,360,39.4,1550,220,100,710,30,18.8,32.2,34,15.1,96,65.2,9.2,4.1,29.9,1.3,3963.292648
245600,0.000626469,Epuni East,Epuni East,3120,3050,3080,2970,3070,600,1060,1020,400,37,2070,480,330,560,80,19.5,34.6,33,12.9,98,67.3,15.8,10.6,18.2,2.6,5264.530287
245800,0.000346905,Moera,Moera,1680,1740,1680,1580,1700,320,630,550,200,36.2,830,450,270,380,70,18.8,37.2,32,11.5,103,49.1,26.5,15.7,22.1,4,4121.523668
246000,0.000918277,Waiwhetu,Waiwhetu,3700,3720,4100,4080,4500,880,1690,1380,540,35.4,2640,910,430,1030,140,19.5,37.6,31,12.1,96,58.7,20.2,9.6,22.8,3.1,7107.018467
