Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
521203,0.2,Bremner,6.64352868,4.58E-05,0.030104484
521301,3.6,Drury,53.0092086,0.000825035,0.067912729
521302,0.7,Runciman,7.68685838,0.000160424,0.091064511
521501,1.2,Mellons Bay,1.42818989,0.000275012,0.840224405
521502,1.1,Cockle Bay,1.9608949,0.000252094,0.560968362
521601,0.9,Howick West,0.78891543,0.000206259,1.14080669
521602,16.7,Howick Central,1.83327477,0.003827247,9.109381896
521801,2,Otahuhu North,0.66410225,0.000458353,3.011584436
521802,2,Fairburn,0.89968663,0.000458353,2.222996245
521803,NA,Otahuhu East,0.782939,0,NA
521901,21.7,Otahuhu West,2.43895312,0.004973129,8.897259985
521902,0.05,Middlemore,0.706865,1.15E-05,0.070734865
522100,2.6,Papatoetoe West,1.4336096,0.000595859,1.813603927
522201,12.7,Papatoetoe North,1.39375913,0.002910541,9.112047933
522202,7.1,Papatoetoe Central,1.42064237,0.001627153,4.997739157
522301,6.2,Dingwall,1.07865608,0.001420894,5.747893249
522302,6.8,Papatoetoe East,1.46545163,0.0015584,4.640207743
522400,2.9,Puhinui North,1.00156907,0.000664612,2.895456826
522601,2.3,Bucklands and Eastern Beaches,2.56452112,0.000527106,0.8968536
522603,NA,Bleakhouse,0.78494715,0,NA
522604,2.6,Bucklands Beach South,0.92113633,0.000595859,2.822600646
522711,0.8,Pigeon Mountain North,0.99351346,0.000183341,0.805223112
522712,0.9,Murvale,1.12044328,0.000206259,0.803253512
522721,1.7,Pigeon Mountain South,0.42949301,0.0003896,3.958155221
522722,10.1,Highland Park,1.3514165,0.002314682,7.473639696
522723,6,Elsmore Park,1.79096607,0.001375059,3.35014722
522730,0.2,Half Moon Bay,1.24882099,4.58E-05,0.160151056
522810,1.7,Pakuranga North,1.4509575,0.0003896,1.171640107
522820,0.9,Sunnyhills,1.62661903,0.000206259,0.553294892
522910,11.35,Pakuranga Central,1.25607493,0.002601153,9.036085132
522920,2.1,Edgewater,1.50569218,0.000481271,1.394707383
523000,3.2,Pakuranga East,1.49015974,0.000733365,2.147420786
523101,2.3,Howick South,1.52381786,0.000527106,1.509366743
523102,8.35,Meadowland,1.84230174,0.001913623,4.532373725
523105,0.3,Golfland,1.43192315,6.88E-05,0.20950845
523106,4.8,Millhouse,1.61671823,0.001100047,2.96897747
523107,9.6,Burswood,0.7834425,0.002200094,12.25361146
523109,8.65,Dannemora,1.42107707,0.001982376,6.086932358
523110,NA,Kilkenny,1.15567162,0,NA
523112,5.1,Highbrook,5.50467962,0.0011688,0.926484437
523113,7.3,Greenmount,3.8170539,0.001672988,1.912469719
523114,0.6,Point View,4.48854555,0.000137506,0.133673591
523115,3.25,Baverstock Oaks,1.7275668,0.000744823,1.881258658
523116,NA,Mission Heights,0.83161534,0,NA
523201,0.1,Shelly Park,0.99917562,2.29E-05,0.100082506
523202,0.8,Turanga,56.3851824,0.000183341,0.014188125
523300,5.75,Beachlands-Maraetai,15.62645,0.001317765,0.367965853
523402,1.6,Otara West,1.5407556,0.000366682,1.038451523
523403,0.9,Wymondley,0.35154059,0.000206259,2.560159554
523404,1.4,Grange,1.06251181,0.000320847,1.317632413
523501,8.6,Otara North,1.20986977,0.001970918,7.108203059
523502,1.8,Otara East,1.1811872,0.000412518,1.52389054
523601,2.6,Otara South,0.80197343,0.000595859,3.242002668
523602,5.6,Ferguson,0.98697973,0.001283388,5.67387539
523711,9.6,Rongomai,2.85467062,0.002200094,3.362909869
523712,5.9,Donegal Park,3.44792192,0.001352141,1.711175641
523713,NA,Ormiston,9.70751096,0,NA
523721,1.1,Clover Park,0.92206647,0.000252094,1.192972563
523722,0.7,Redoubt North,1.54708873,0.000160424,0.452462736
523813,0.5,Ardmore,25.7893513,0.000114588,0.019387847
523814,1.2,Totara Heights,2.68945839,0.000275012,0.44618649
523816,0.9,Randwick Park,0.94821404,0.000206259,0.949152788
523817,NA,Hyperion,0.50305046,0,NA
523818,NA,Redoubt East,5.97016644,0,NA
523819,NA,Mill Road,1.57448915,0,NA
523820,2,Redoubt South,3.91504662,0.000458353,0.5108496
523911,5.5,Takanini North,4.92564897,0.00126047,1.116604133
